accountsservice 22.08.8-2
python-dephell-argparse 0.1.3-5
python-dephell-changelogs 0.0.1-6
python-dephell-discover 0.2.10-6
python-dephell-licenses 0.1.7-6
python-dephell-links 0.1.5-2
python-dephell-markers 1.0.3-2
python-dephell-pythons 0.1.15-4
python-dephell-setuptools 0.2.4-4
python-dephell-shells 0.1.5-3
python-dephell-specifier 0.2.2-5
python-dephell-venvs 0.1.18-2
python-dephell-versioning 0.1.2-5
python-distlib 0.3.4-1
python-distro 1.7.0-1
python-docutils 1:0.19-1
python-entrypoints 0.4-2
python-fissix 21.11.13-1
python-fonttools 4.34.3-1
python-frozenlist 1.3.0-1
python-fs 2.4.16-1
python-future 0.18.2-7
python-gobject 3.42.1-1
python-html5lib 1.1-11
python-idna 3.3-4
python-importlib-metadata 4.8.1-3
python-iniconfig 1.1.1-5
python-installer 0.5.1-1
python-jaraco.context 4.1.1-2
python-jaraco.functools 3.5.0-2
python-jaraco.text 3.8.0-2
python-jedi 0.18.1-1
python-jinja 1:3.1.2-2
python-lsp-black 1.2.1-1
python-lsp-jsonrpc 1.0.0-3
python-lsp-server 1.4.1-1
python-lxml 4.9.0-1
python-mako 1.1.6-3
python-markdown 3.3.7-1
python-markupsafe 2.1.1-1
python-mccabe 0.7.0-1
python-mistune1 0.8.4-4
python-mock 3.0.5-9
python-more-itertools 8.13.0-2
python-moreorless 0.4.0-3
python-msgpack 1.0.3-1
python-multidict 6.0.2-1
python-mypy_extensions 0.4.3-5
python-nose 1.3.7-14
python-nototools 0.2.13-1
python-nspektr 0.4.0-1
python-numpy 1.23.0-1
python-ordered-set 4.0.2-6
python-packaging 21.3-1
python-parso 1:0.8.2-3
python-pathspec 0.9.0-3
python-pbr 5.9.0-1
python-pep517 0.12.0-4
python-pexpect 4.8.0-6
python-pillow 9.2.0-1
python-pip 22.1.2-1
python-platformdirs 2.5.1-1
python-pluggy 1.0.0-1
python-ply 3.11-10
python-psutil 5.9.1-1
python-ptyprocess 0.7.0-4
python-py 1.11.0-1
python-pyclipper 1.3.0.post3-1
python-pycodestyle 2.8.0-5
python-pycparser 2.21-3
python-pyflakes 2.4.0-3
python-pygments 2.12.0-1
python-pyopenssl 22.0.0-1
python-pyparsing 3.0.9-1
python-pyte 0.8.1-1
python-pytest 7.1.2-1
python-pytz 2022.1-1
python-requests 2.27.1-1
python-resolvelib 0.8.1-1
python-rich 12.4.4-1
python-ruamel-yaml 0.17.21-1
python-ruamel.yaml.clib 0.2.6-3
python-setuptools 1:61.3.1-1
python-setuptools-scm 7.0.4-1
python-setuptools-scm-git-archive 1.4-1
python-shellingham 1.4.0-4
python-six 1.16.0-5
python-tabulate 0.8.10-1
python-tenacity 8.0.1-3
python-termcolor 1.1.0-12
python-toml 0.10.2-7
python-tomli 2.0.1-1
python-tomlkit 0.11.1-1
python-trove-classifiers 2022.6.26-1
python-typing_extensions 4.2.0-1
python-ujson 5.4.0-1
python-unicodedata2 14.0.0-1
python-urllib3 1.26.9-1
python-validate-pyproject 0.9-1
python-volatile 2.1.0-3
python-wcwidth 0.2.5-6
python-webencodings 0.5.1-9
python-wheel 0.37.1-1
python-yarl 1.8.0-1
python-yaspin 2.1.0-4
python-zipp 3.8.0-2
qbittorrent 4.4.3.1-3
qt5-base 5.15.5+kde+r170-1
qt5-declarative 5.15.5+kde+r19-1
qt5-multimedia 5.15.5+kde+r1-1
qt5-svg 5.15.5+kde+r10-1
qt5-tools 5.15.5+kde+r1-3
qt5-translations 5.15.5+kde+r2-1
qt5-wayland 5.15.5+kde+r38-1
qt5-x11extras 5.15.5+kde+r0-1
qt6-base 6.3.1-1
qt6-svg 6.3.1-1
qt6-translations 6.3.1-1
ragel 6.10-3
raptor 2.0.15-19
rasqal 1:0.9.33-5
rav1e 0.4.1-2
rawtherapee 1:5.8-3
re2 1:20220601-1
readline 8.1.002-1
redland 1:1.0.17-8
rest 0.8.1+r4+ge5ee6ef-1
rhash 1.4.2-1
ripgrep 13.0.0-2
ripgrep-all 0.9.6-3
rubberband 2.0.2-1
ruby 3.0.4-1
ruby-irb 1.4.1-1
ruby-reline 0.3.1-1
rubygems 3.3.15-1
run-parts 5.5-1
rust 1:1.62.0-1
sassc 3.6.2-3
sbc 1.5-2
scdoc 1.11.2-3
scour 0.38.2-2
sddm-git 0.19.0.141.ge67307e-1
sdl2 2.0.22-2
seatd 0.7.0-1
sed 4.8-1
semver 7.3.7-1
serd 0.30.12-2
shaderc 2022.1-4
shadow 4.11.1-1
shared-mime-info 2.0+144+g13695c7-1
shellcheck 0.8.0-139
shellharden 4.2.0-2
slurp 1.3.2-2
snappy 1.1.9-2
sord 0.16.10-2
sound-theme-freedesktop 0.8-5
source-highlight 3.1.9-8
speex 1.2.1-1
speexdsp 1.2.1-1
spirv-tools 2022.1-1
sqlite 3.39.0-2
sratom 0.6.10-3
srt 1.5.0-1
startup-notification 0.12-7
stow 2.3.1-3
stylua 0.14.0-1
sudo 1.9.11.p3-1
suitesparse 5.12.0-1
sunwait 0.8-1
svt-av1 1.1.0-1
swaybg 1.1.1-1
sweep 0.9.3-6
swhkd-bin 1.1.7-2
sysfsutils 2.1.1-1
systemd 251.2-1
systemd-libs 251.2-1
